2025-02-05T08:40:20.765544900 : 
2025-02-05T08:40:25.443375700 : 
2025-02-05T08:40:37.443197300 : test
2025-02-05T08:40:53.443786 : exit
2025-02-05T10:03:06.472647900 : test
2025-02-05T10:04:57.346157100 : list
2025-02-05T10:05:34.583899200 : exit
2025-02-05T10:10:47.474195400 : list
2025-02-05T10:10:53.738436900 : asdfsa
2025-02-05T10:10:57.482742400 : exit
2025-02-05T10:38:01.652565700 : sdfsad
2025-02-05T10:38:30.136798600 : time
2025-02-05T10:38:34.888460300 : directory
2025-02-05T10:39:34.313712100 : Exit
2025-02-05T10:42:14.521599 : Exit
2025-02-05T10:43:59.577682600 : exit
